id,articleID,userID,readDate
1649056,26323,18910,2021-10-22 19:24:41
1649058,26919,14602,2021-10-22 19:36:37
1649060,26639,10248,2021-10-22 20:06:10
1649061,26696,10248,2021-10-22 20:06:10
1649062,26628,10248,2021-10-22 20:06:10
1649063,26671,10248,2021-10-22 20:06:10
1649064,26625,10248,2021-10-22 20:06:10
1649065,26568,10248,2021-10-22 20:06:10
1649066,26499,10248,2021-10-22 20:06:10
1649067,26664,10248,2021-10-22 20:06:10
1649068,26642,10248,2021-10-22 20:06:10
1649069,26672,10248,2021-10-22 20:06:10
1649070,26670,10248,2021-10-22 20:06:10
1649071,26673,10248,2021-10-22 20:06:10
1649072,26661,10248,2021-10-22 20:06:10
1649073,26660,10248,2021-10-22 20:06:10
1649074,26676,10248,2021-10-22 20:06:10
1649075,26689,10248,2021-10-22 20:06:10
1649076,14565,640,2021-10-22 20:19:56
1649077,14584,640,2021-10-22 20:19:56
1649078,14552,640,2021-10-22 20:19:56
1649079,14540,640,2021-10-22 20:19:56
1649080,14613,640,2021-10-22 20:19:56
1649081,14612,640,2021-10-22 20:19:56
1649083,27003,18961,2021-10-22 20:26:49
1649084,26932,18961,2021-10-22 20:26:49
1649085,26888,18961,2021-10-22 20:26:49
1649086,26886,18961,2021-10-22 20:26:49
1649087,26885,18961,2021-10-22 20:26:49
1649088,26715,18961,2021-10-22 20:26:49
1649090,27029,14602,2021-10-22 20:48:20
1649091,26982,14602,2021-10-22 20:48:20
1649092,27021,14602,2021-10-22 20:48:20
1649093,27014,14602,2021-10-22 20:48:20
1649094,27028,14602,2021-10-22 20:48:20
1649095,27006,14602,2021-10-22 20:48:20
1649096,27022,14602,2021-10-22 20:48:20
1649097,26499,14602,2021-10-22 20:48:20
1649098,27027,14602,2021-10-22 20:48:20
1649099,27017,14602,2021-10-22 20:48:20
1649100,27011,14602,2021-10-22 20:48:20
1649101,27023,14602,2021-10-22 20:48:20
1649104,26625,14602,2021-10-22 20:54:51
1649105,26993,14602,2021-10-22 20:54:51
1649106,27013,14602,2021-10-22 20:54:51
1649107,27001,14602,2021-10-22 20:54:51
1649108,27032,14602,2021-10-22 20:54:51
1649109,27010,14602,2021-10-22 20:54:51
1649110,26628,14602,2021-10-22 20:54:51
1649111,26972,14602,2021-10-22 20:54:51
1649112,27019,14602,2021-10-22 20:54:51
1649113,26970,14602,2021-10-22 20:54:51
1649114,27009,14602,2021-10-22 20:54:51
1649115,26997,14602,2021-10-22 20:54:51
1649116,26995,14602,2021-10-22 20:54:51
1649117,26698,14602,2021-10-22 20:54:51
1649118,26983,14602,2021-10-22 20:54:51
1649119,27031,14602,2021-10-22 20:54:51
1649120,26991,14602,2021-10-22 20:54:51
1649121,26990,14602,2021-10-22 20:54:51
1649122,27002,14602,2021-10-22 20:54:51
1649127,27005,14602,2021-10-22 20:58:09
1649128,27004,14602,2021-10-22 20:58:09
1649129,27016,14602,2021-10-22 20:58:09
1649130,26930,14602,2021-10-22 20:58:09
1649131,26912,14602,2021-10-22 20:58:09
1649132,26903,14602,2021-10-22 20:58:09
1649133,26901,14602,2021-10-22 20:58:09
1649134,26812,14602,2021-10-22 20:58:09
1649135,26805,14602,2021-10-22 20:58:09
1649136,26798,14602,2021-10-22 20:58:09
1649137,26568,14602,2021-10-22 20:58:09
1649138,26893,14602,2021-10-22 20:58:09
